node:node_contract_registry:0000_create_contract_registry.sql	applied-by-runner	686b135950659fa6ab11161a439fac60ae273ff3cf410fe6b209f505bb8983e7	bff49882c3c724de24f75b97c847ab78581064a72b77429a2251a02448fad668	2026-06-10 20:30:05.148691+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_evidence_dashboard_reducer:0001_create_evidence_dashboard_projection_tables.sql	applied-by-runner	a83717d2077fe6a4ca737adda2f7d3ab37544f14826284ec3839b810925bf051	b3c4be68802a73d5f865b6730b191a15fa9d2729d3b8a5e75ed82ce3c94b70e8	2026-06-10 20:30:05.340401+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_nightly_loop_controller:001_create_nightly_loop_tables.sql	applied-by-runner	55fd0b90a3dd033df7c57351d0739e9218fe58ba290c732c78e78d7df49eaa60	dbe147357ae6e34ce35dcd97e7652f521346e6cb915775ed3d2f9a548af68ead	2026-06-10 20:30:05.531935+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_pr_review_bot:001_create_review_bot_bypass_log.sql	applied-by-runner	63e2646a7f8767fad9ec969b224982e00b83aacb665107ab5b103964d5616e00	63e2646a7f8767fad9ec969b224982e00b83aacb665107ab5b103964d5616e00	2026-06-10 20:30:05.555266+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_delegation:0008_generation_events.sql	applied-by-runner	e12015762c7b2c598ed03f38a4e6d2b3cf7cbd6d6f8c30e05d21758a420580b6	d4563a744d4e925a5afd6e176b9284ff08c07b770ee6d49d25b4816b5a785101	2026-06-06 16:07:04.573841+00	2026-05-20 20:18:13.580164+00	2026-05-20 20:18:13.580164+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_delegation:0009_delegate_skill_projection_metrics.sql	applied-by-runner	ba2f5e8428084d2f7e3386372864aed7b8d47f31d4048e12878f8799060fb03d	ba2f5e8428084d2f7e3386372864aed7b8d47f31d4048e12878f8799060fb03d	2026-06-06 16:07:04.681203+00	2026-05-20 20:18:13.601917+00	2026-05-20 20:18:13.601917+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_dep_health:001_create_dep_health_findings.sql	applied-by-runner	5bfcf6862b235ea79bab65dd8681db9217f851511c2dfa8283191e2c7094217d	81e097ced9e5c386183ca2563f786a297263576637703c57ca5ab913b58e08bc	2026-06-10 20:30:05.859780+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_registration:0000_create_node_service_registry.sql	applied-by-runner	5c320392190e6b9a1e06ab7177b7560181ca00282e107aebfccc452441e4d478	5c320392190e6b9a1e06ab7177b7560181ca00282e107aebfccc452441e4d478	2026-06-06 16:07:04.960343+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_registration:0001_add_heartbeat_columns.sql	applied-by-runner	2cda779401d041ae1383937df3f4c614df74d09c80c78f24f7993685ba7a6aed	2cda779401d041ae1383937df3f4c614df74d09c80c78f24f7993685ba7a6aed	2026-06-06 16:07:04.986930+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
node:node_projection_session_outcome:0021_session_outcomes.sql	applied-by-runner	68adbc4faff969f8f1be689899ccae591331bd858a14bef30c62e4d73600b66b	de421b3a1ef9bd31f29fe6bce7d1efc469a1ead9a08a1f59e9bd8fb53a1a77f0	2026-06-10 20:33:25.391471+00	2026-05-23 13:49:15.138389+00	2026-05-23 13:49:15.138389+00	OMN-16919	26bcaa1976662f39392a105818e8f633453bd7c2d080db22836b7eca31e5460b	2026-08-29
